UserID,Username,AgeGroup,Country,Verified
1,@designer_dan1,Senior,Brazil,False
2,@daily_vibes2,Senior,Brazil,False
3,@social_queen3,Adult,UK,False
4,@daily_vibes4,Teen,Canada,False
5,@critic995,Adult,Germany,False
6,@critic996,Teen,Canada,False
7,@techie427,Teen,US,False
8,@designer_dan8,Senior,UK,False
9,@rage_user9,Teen,UK,True
10,@designer_dan10,Senior,Brazil,True
11,@designer_dan11,Adult,Brazil,True
12,@pixel_pusher12,Teen,Brazil,True
13,@critic9913,Adult,US,False
14,@social_queen14,Teen,India,True
15,@meme_lord15,Senior,Germany,True
16,@techie4216,Senior,Canada,True
17,@techie4217,Adult,UK,True
18,@rage_user18,Adult,India,True
19,@stream_bot19,Adult,Germany,True
20,@techie4220,Teen,Canada,True
21,@pixel_pusher21,Senior,Canada,True
22,@rage_user22,Teen,India,False
23,@pixel_pusher23,Senior,US,False
24,@social_queen24,Teen,UK,True
25,@rage_user25,Senior,Brazil,True
26,@techie4226,Adult,UK,True
27,@critic9927,Senior,Germany,True
28,@meme_lord28,Adult,India,False
29,@social_queen29,Adult,Brazil,True
30,@daily_vibes30,Senior,Germany,True
31,@designer_dan31,Teen,India,False
32,@critic9932,Senior,Germany,False
33,@critic9933,Teen,Canada,False
34,@critic9934,Senior,Germany,True
35,@social_queen35,Senior,India,True
36,@designer_dan36,Teen,Canada,False
37,@meme_lord37,Adult,Brazil,False
38,@stream_bot38,Senior,Brazil,False
39,@designer_dan39,Adult,US,False
40,@calm_mind40,Senior,Germany,False
41,@stream_bot41,Adult,India,False
42,@critic9942,Senior,UK,False
43,@daily_vibes43,Teen,US,True
44,@stream_bot44,Senior,Canada,False
45,@pixel_pusher45,Adult,Germany,True
46,@stream_bot46,Senior,UK,True
47,@social_queen47,Adult,Germany,False
48,@stream_bot48,Senior,UK,True
49,@pixel_pusher49,Adult,Brazil,True
50,@stream_bot50,Adult,Germany,False
